GeneA,GeneB,UniprotA,UniprotB
NOD2,PPP2R5E,Q9HC29,Q16537
NOD2,RIPK2,Q9HC29,O43353
NOD2,BIRC2,Q9HC29,Q13490
NOD2,BIRC3,Q9HC29,Q13489
NOD2,NAT16,Q9HC29,Q8N8M0
NOD2,XIAP,Q9HC29,P98170
NOD2,IKBKG,Q9HC29,Q9Y6K9
NOD2,RIPK1,Q9HC29,Q13546
NOD2,RNF31,Q9HC29,Q96EP0
NOD2,RBCK1,Q9HC29,Q9BYM8
NOD2,SHARPIN,Q9HC29,Q9H0F6
NOD2,COPS6,Q9HC29,Q7L5N1
NOD2,RIPK2,Q9HC29,O43353
NOD2,RIPK2,Q9HC29,O43353
RIPK2,NOD2,O43353,Q9HC29
NOD2,RIPK2,Q9HC29,O43353
RIPK2,NOD2,O43353,Q9HC29
NOD2,RIPK2,Q9HC29,O43353
NOD2,RIPK2,Q9HC29,O43353
NOD2,RIPK2,Q9HC29,O43353
NOD2,RIPK2,Q9HC29,O43353
IRGM,NOD2,A1A4Y4,Q9HC29
MASP2,NOD2,O00187,Q9HC29
TLR4,NOD2,O00206,Q9HC29
TNFRSF10A,NOD2,O00220,Q9HC29
IGF2BP3,NOD2,O00425,Q9HC29
SOCS3,NOD2,O14543,Q9HC29
DVL2,NOD2,O14641,Q9HC29
APAF1,NOD2,O14727,Q9HC29
MAP2K7,NOD2,O14733,Q9HC29
APOL1,NOD2,O14791,Q9HC29
AIM2,NOD2,O14862,Q9HC29
IKBKB,NOD2,O14920,Q9HC29
NCR3,NOD2,O14931,Q9HC29
EREG,NOD2,O14944,Q9HC29
CHUK,NOD2,O15111,Q9HC29
TRIM24,NOD2,O15164,Q9HC29
AXIN1,NOD2,O15169,Q9HC29
POLR3G,NOD2,O15318,Q9HC29
MID1,NOD2,O15344,Q9HC29
TP73,NOD2,O15350,Q9HC29
TLR3,NOD2,O15455,Q9HC29
CFLAR,NOD2,O15519,Q9HC29
MEFV,NOD2,O15553,Q9HC29
KCNN4,NOD2,O15554,Q9HC29
IRAK2,NOD2,O43187,Q9HC29
MAP3K7,NOD2,O43318,Q9HC29
RIPK2,NOD2,O43353,Q9HC29
RGS14,NOD2,O43566,Q9HC29
TRAF3IP2,NOD2,O43734,Q9HC29
PRKN,NOD2,O60260,Q9HC29
CIDEA,NOD2,O60543,Q9HC29
TLR5,NOD2,O60602,Q9HC29
TLR2,NOD2,O60603,Q9HC29
JAK2,NOD2,O60674,Q9HC29
SNX2,NOD2,O60749,Q9HC29
SH2D1A,NOD2,O60880,Q9HC29
NOL3,NOD2,O60936,Q9HC29
ANKRD17,NOD2,O75179,Q9HC29
NCOR1,NOD2,O75376,Q9HC29
STX11,NOD2,O75558,Q9HC29
PGLYRP1,NOD2,O75594,Q9HC29
SLIT2,NOD2,O94813,Q9HC29
MYO1D,NOD2,O94832,Q9HC29
UNC5C,NOD2,O95185,Q9HC29
TRIM16,NOD2,O95361,Q9HC29
CRTAM,NOD2,O95727,Q9HC29
DDX58,NOD2,O95786,Q9HC29
BCL10,NOD2,O95999,Q9HC29
ABL1,NOD2,P00519,Q9HC29
C1R,NOD2,P00736,Q9HC29
PLAU,NOD2,P00749,Q9HC29
CFB,NOD2,P00751,Q9HC29
OAS1,NOD2,P00973,Q9HC29
A2M,NOD2,P01023,Q9HC29
C3,NOD2,P01024,Q9HC29
TGFB1,NOD2,P01137,Q9HC29
INS,NOD2,P01308,Q9HC29
IFNB1,NOD2,P01574,Q9HC29
CD4,NOD2,P01730,Q9HC29
CD8A,NOD2,P01732,Q9HC29
APOA1,NOD2,P02647,Q9HC29
APOE,NOD2,P02649,Q9HC29
APOA2,NOD2,P02652,Q9HC29
APOC1,NOD2,P02654,Q9HC29
C1QA,NOD2,P02745,Q9HC29
C1QC,NOD2,P02747,Q9HC29
FN1,NOD2,P02751,Q9HC29
ALB,NOD2,P02768,Q9HC29
PF4,NOD2,P02776,Q9HC29
CXCL10,NOD2,P02778,Q9HC29
TFRC,NOD2,P02786,Q9HC29
C4BPA,NOD2,P04003,Q9HC29
DNTT,NOD2,P04053,Q9HC29
CD74,NOD2,P04233,Q9HC29
S100B,NOD2,P04271,Q9HC29
VWF,NOD2,P04275,Q9HC29
TUBB4A,NOD2,P04350,Q9HC29
IGF1,NOD2,P05019,Q9HC29
ITGB2,NOD2,P05107,Q9HC29
S100A8,NOD2,P05109,Q9HC29
IL4,NOD2,P05112,Q9HC29
IL5,NOD2,P05113,Q9HC29
CFI,NOD2,P05156,Q9HC29
IL6,NOD2,P05231,Q9HC29
ICAM1,NOD2,P05362,Q9HC29
C2,NOD2,P06681,Q9HC29
S100A9,NOD2,P06702,Q9HC29
S100A6,NOD2,P06703,Q9HC29
CD2,NOD2,P06729,Q9HC29
ENO1,NOD2,P06733,Q9HC29
FES,NOD2,P07332,Q9HC29
C8A,NOD2,P07357,Q9HC29
TUBB,NOD2,P07437,Q9HC29
CD3E,NOD2,P07766,Q9HC29
HSP90AA1,NOD2,P07900,Q9HC29
LYN,NOD2,P07948,Q9HC29
THBS1,NOD2,P07996,Q9HC29
NGFR,NOD2,P08138,Q9HC29
HSP90AB1,NOD2,P08238,Q9HC29
ELANE,NOD2,P08246,Q9HC29
CTSG,NOD2,P08311,Q9HC29
PLEK,NOD2,P08567,Q9HC29
CD14,NOD2,P08571,Q9HC29
PTPRC,NOD2,P08575,Q9HC29
HCK,NOD2,P08631,Q9HC29
VIM,NOD2,P08670,Q9HC29
F7,NOD2,P08709,Q9HC29
IL6R,NOD2,P08887,Q9HC29
POU2F2,NOD2,P09086,Q9HC29
HMOX1,NOD2,P09601,Q9HC29
HNRNPA1,NOD2,P09651,Q9HC29
FGR,NOD2,P09769,Q9HC29
C1S,NOD2,P09871,Q9HC29
UBC,NOD2,P0CG48,Q9HC29
HSPA1A,NOD2,P0DMV8,Q9HC29
SRGN,NOD2,P10124,Q9HC29
CXCL8,NOD2,P10145,Q9HC29
BCL2,NOD2,P10415,Q9HC29
SPP1,NOD2,P10451,Q9HC29
MGST1,NOD2,P10620,Q9HC29
C7,NOD2,P10643,Q9HC29
CD28,NOD2,P10747,Q9HC29
IRF1,NOD2,P10914,Q9HC29
CD8B,NOD2,P10966,Q9HC29
CD37,NOD2,P11049,Q9HC29
HSPA8,NOD2,P11142,Q9HC29
EPB41,NOD2,P11171,Q9HC29
ITGAM,NOD2,P11215,Q9HC29
PIM1,NOD2,P11309,Q9HC29
DMD,NOD2,P11532,Q9HC29
SCGB1A1,NOD2,P11684,Q9HC29
FCER1A,NOD2,P12319,Q9HC29
BMP4,NOD2,P12644,Q9HC29
RNASE3,NOD2,P12724,Q9HC29
IL7,NOD2,P13232,Q9HC29
CCL2,NOD2,P13500,Q9HC29
CCL5,NOD2,P13501,Q9HC29
OSM,NOD2,P13725,Q9HC29
F3,NOD2,P13726,Q9HC29
TRIM27,NOD2,P14373,Q9HC29
PLA2G2A,NOD2,P14555,Q9HC29
HSP90B1,NOD2,P14625,Q9HC29
SLC2A4,NOD2,P14672,Q9HC29
LIF,NOD2,P15018,Q9HC29
PVR,NOD2,P15151,Q9HC29
VAV1,NOD2,P15498,Q9HC29
VEGFA,NOD2,P15692,Q9HC29
CD1D,NOD2,P15813,Q9HC29
ANK1,NOD2,P16157,Q9HC29
CTLA4,NOD2,P16410,Q9HC29
DPEP1,NOD2,P16444,Q9HC29
IL7R,NOD2,P16871,Q9HC29
ITGA2,NOD2,P17301,Q9HC29
CEBPB,NOD2,P17676,Q9HC29
CR1,NOD2,P17927,Q9HC29
FLT1,NOD2,P17948,Q9HC29
VCAM1,NOD2,P19320,Q9HC29
TNFRSF1A,NOD2,P19438,Q9HC29
TRIM21,NOD2,P19474,Q9HC29
NFKB1,NOD2,P19838,Q9HC29
CXCL3,NOD2,P19876,Q9HC29
NCF2,NOD2,P19878,Q9HC29
AZU1,NOD2,P20160,Q9HC29
ALOX5AP,NOD2,P20292,Q9HC29
BCL3,NOD2,P20749,Q9HC29
IL11,NOD2,P20809,Q9HC29
FLNA,NOD2,P21333,Q9HC29
TNFAIP3,NOD2,P21580,Q9HC29
C5AR1,NOD2,P21730,Q9HC29
IL10,NOD2,P22301,Q9HC29
CBL,NOD2,P22681,Q9HC29
SP100,NOD2,P23497,Q9HC29
CXCR2,NOD2,P25025,Q9HC29
FAS,NOD2,P25445,Q9HC29
CD40,NOD2,P25942,Q9HC29
NFKBIA,NOD2,P25963,Q9HC29
PTX3,NOD2,P26022,Q9HC29
MSN,NOD2,P26038,Q9HC29
CNTF,NOD2,P26441,Q9HC29
S100A4,NOD2,P26447,Q9HC29
CAD,NOD2,P27708,Q9HC29
IL12A,NOD2,P29459,Q9HC29
CASP1,NOD2,P29466,Q9HC29
OAS2,NOD2,P29728,Q9HC29
S100A7,NOD2,P31151,Q9HC29
HOXA7,NOD2,P31268,Q9HC29
CASP14,NOD2,P31944,Q9HC29
GPR183,NOD2,P32249,Q9HC29
CD80,NOD2,P33681,Q9HC29
HSPA1L,NOD2,P34931,Q9HC29
HSPA4,NOD2,P34932,Q9HC29
IL13,NOD2,P35225,Q9HC29
KRT20,NOD2,P35900,Q9HC29
KDR,NOD2,P35968,Q9HC29
PPARG,NOD2,P37231,Q9HC29
COL18A1,NOD2,P39060,Q9HC29
STAT3,NOD2,P40763,Q9HC29
IL15,NOD2,P40933,Q9HC29
LEP,NOD2,P41159,Q9HC29
BCL6,NOD2,P41182,Q9HC29
MNDA,NOD2,P41218,Q9HC29
P2RY2,NOD2,P41231,Q9HC29
CD86,NOD2,P42081,Q9HC29
STAT1,NOD2,P42224,Q9HC29
STAT6,NOD2,P42226,Q9HC29
STAT5A,NOD2,P42229,Q9HC29
EPS15,NOD2,P42566,Q9HC29
CASP3,NOD2,P42574,Q9HC29
CASP2,NOD2,P42575,Q9HC29
ABL2,NOD2,P42684,Q9HC29
DCC,NOD2,P43146,Q9HC29
SYK,NOD2,P43405,Q9HC29
TNFRSF4,NOD2,P43489,Q9HC29
CXCL12,NOD2,P48061,Q9HC29
MASP1,NOD2,P48740,Q9HC29
CASP4,NOD2,P49662,Q9HC29
VEGFC,NOD2,P49767,Q9HC29
IRAK1,NOD2,P51617,Q9HC29
STAT5B,NOD2,P51692,Q9HC29
CASP5,NOD2,P51878,Q9HC29
JAK3,NOD2,P52333,Q9HC29
ARFIP1,NOD2,P53367,Q9HC29
ATN1,NOD2,P54259,Q9HC29
USP14,NOD2,P54578,Q9HC29
PRRX1,NOD2,P54821,Q9HC29
CASP7,NOD2,P55210,Q9HC29
CASP9,NOD2,P55211,Q9HC29
CASP6,NOD2,P55212,Q9HC29
BID,NOD2,P55957,Q9HC29
ITGA1,NOD2,P56199,Q9HC29
RP1,NOD2,P56715,Q9HC29
BCAR1,NOD2,P56945,Q9HC29
CARD18,NOD2,P57730,Q9HC29
TIRAP,NOD2,P58753,Q9HC29
NLRP11,NOD2,P59045,Q9HC29
NLRP12,NOD2,P59046,Q9HC29
IL2,NOD2,P60568,Q9HC29
B2M,NOD2,P61769,Q9HC29
TGFB2,NOD2,P61812,Q9HC29
-,NOD2,,Q9HC29
RAC1,NOD2,P63000,Q9HC29
SUMO1,NOD2,P63165,Q9HC29
ACTG1,NOD2,P63261,Q9HC29
CRADD,NOD2,P78560,Q9HC29
S100A12,NOD2,P80511,Q9HC29
XIAP,NOD2,P98170,Q9HC29
CLTC,NOD2,Q00610,Q9HC29
HSF1,NOD2,Q00613,Q9HC29
PLCB2,NOD2,Q00722,Q9HC29
CD83,NOD2,Q01151,Q9HC29
CAV1,NOD2,Q03135,Q9HC29
RELA,NOD2,Q04206,Q9HC29
TLE1,NOD2,Q04724,Q9HC29
REL,NOD2,Q04864,Q9HC29
PRKCD,NOD2,Q05655,Q9HC29
BTK,NOD2,Q06187,Q9HC29
PSME1,NOD2,Q06323,Q9HC29
LTB,NOD2,Q06643,Q9HC29
BCL2L1,NOD2,Q07817,Q9HC29
FOXM1,NOD2,Q08050,Q9HC29
RGS1,NOD2,Q08116,Q9HC29
EP300,NOD2,Q09472,Q9HC29
GALNT2,NOD2,Q10471,Q9HC29
NAIP,NOD2,Q13075,Q9HC29
TRAF3,NOD2,Q13114,Q9HC29
FADD,NOD2,Q13158,Q9HC29
CBLB,NOD2,Q13191,Q9HC29
MAPK8IP2,NOD2,Q13387,Q9HC29
MYO7A,NOD2,Q13402,Q9HC29
BIRC3,NOD2,Q13489,Q9HC29
BIRC2,NOD2,Q13490,Q9HC29
SQSTM1,NOD2,Q13501,Q9HC29
RIPK1,NOD2,Q13546,Q9HC29
STIM1,NOD2,Q13586,Q9HC29
AAMP,NOD2,Q13685,Q9HC29
TUBA3C;TUBA3D,NOD2,,Q9HC29
IL16,NOD2,Q14005,Q9HC29
IL18,NOD2,Q14116,Q9HC29
ARHGEF7,NOD2,Q14155,Q9HC29
EBI3,NOD2,Q14213,Q9HC29
IRF3,NOD2,Q14653,Q9HC29
HLX,NOD2,Q14774,Q9HC29
CASP8,NOD2,Q14790,Q9HC29
HERPUD1,NOD2,Q15011,Q9HC29
ACAP1,NOD2,Q15027,Q9HC29
NCF4,NOD2,Q15080,Q9HC29
AGER,NOD2,Q15109,Q9HC29
PCBP2,NOD2,Q15366,Q9HC29
TLR1,NOD2,Q15399,Q9HC29
TRADD,NOD2,Q15628,Q9HC29
TARBP2,NOD2,Q15633,Q9HC29
ITSN1,NOD2,Q15811,Q9HC29
IGFBP7,NOD2,Q16270,Q9HC29
PKN1,NOD2,Q16512,Q9HC29
PPP2R5E,NOD2,Q16537,Q9HC29
MAPK14,NOD2,Q16539,Q9HC29
C3AR1,NOD2,Q16581,Q9HC29
MOG,NOD2,Q16653,Q9HC29
HIF1A,NOD2,Q16665,Q9HC29
IFI16,NOD2,Q16666,Q9HC29
DGKD,NOD2,Q16760,Q9HC29
LTC4S,NOD2,Q16873,Q9HC29
MICB,NOD2,Q29980,Q9HC29
MICA,NOD2,Q29983,Q9HC29
TRIM16L,NOD2,Q309B1,Q9HC29
TIGIT,NOD2,Q495A1,Q9HC29
CARD16,NOD2,Q5EG05,Q9HC29
CARD17,NOD2,Q5XLA6,Q9HC29
CD276,NOD2,Q5ZPR3,Q9HC29
ATG16L1,NOD2,Q676U5,Q9HC29
CNKSR3,NOD2,Q6P9H4,Q9HC29
IL27RA,NOD2,Q6UWB1,Q9HC29
OLFM4,NOD2,Q6UX06,Q9HC29
IL20RB,NOD2,Q6UXL0,Q9HC29
CASP12,NOD2,Q6UXS9,Q9HC29
UNC13D,NOD2,Q70J99,Q9HC29
CYB5R4,NOD2,Q7L1T6,Q9HC29
COPS6,NOD2,Q7L5N1,Q9HC29
ZFYVE16,NOD2,Q7Z3T8,Q9HC29
NLRP13,NOD2,Q86W25,Q9HC29
NLRP8,NOD2,Q86W28,Q9HC29
TRIM50,NOD2,Q86XT4,Q9HC29
VRK2,NOD2,Q86Y07,Q9HC29
TICAM1,NOD2,Q8IUC6,Q9HC29
RNF135,NOD2,Q8IUD6,Q9HC29
SLC15A3,NOD2,Q8IY34,Q9HC29
TRIM22,NOD2,Q8IYM9,Q9HC29
TAB3,NOD2,Q8N5C8,Q9HC29
SLC15A4,NOD2,Q8N697,Q9HC29
NAT16,NOD2,Q8N8M0,Q9HC29
NFATC2IP,NOD2,Q8NCF5,Q9HC29
NFAM1,NOD2,Q8NET5,Q9HC29
NFKBID,NOD2,Q8NI38,Q9HC29
RIN3,NOD2,Q8TB24,Q9HC29
DLG5,NOD2,Q8TDM6,Q9HC29
MZB1,NOD2,Q8WU39,Q9HC29
NLRP7,NOD2,Q8WX94,Q9HC29
PYDC1,NOD2,Q8WXC3,Q9HC29
RIN2,NOD2,Q8WYP3,Q9HC29
KLHL6,NOD2,Q8WZ60,Q9HC29
ROBO4,NOD2,Q8WZ75,Q9HC29
NECTIN2,NOD2,Q92692,Q9HC29
TFG,NOD2,Q92734,Q9HC29
CASP10,NOD2,Q92851,Q9HC29
ARHGEF1,NOD2,Q92888,Q9HC29
FOXJ1,NOD2,Q92949,Q9HC29
KAT5,NOD2,Q92993,Q9HC29
DVL3,NOD2,Q92997,Q9HC29
TNFRSF25,NOD2,Q93038,Q9HC29
RNF31,NOD2,Q96EP0,Q9HC29
GIMAP5,NOD2,Q96F15,Q9HC29
THOC1,NOD2,Q96FV9,Q9HC29
CMTM7,NOD2,Q96FZ5,Q9HC29
KAZALD1,NOD2,Q96I82,Q9HC29
PGLYRP3,NOD2,Q96LB9,Q9HC29
NLRP4,NOD2,Q96MN2,Q9HC29
NLRP3,NOD2,Q96P20,Q9HC29
PGLYRP2,NOD2,Q96PD5,Q9HC29
UHRF2,NOD2,Q96PU4,Q9HC29
TRPM7,NOD2,Q96QT4,Q9HC29
PANX1,NOD2,Q96RD7,Q9HC29
ERBIN,NOD2,Q96RT1,Q9HC29
MAP3K14,NOD2,Q99558,Q9HC29
S100A13,NOD2,Q99584,Q9HC29
OSMR,NOD2,Q99650,Q9HC29
MGST2,NOD2,Q99735,Q9HC29
SMO,NOD2,Q99835,Q9HC29
MYD88,NOD2,Q99836,Q9HC29
PDCD1LG2,NOD2,Q9BQ51,Q9HC29
LRRC1,NOD2,Q9BTT6,Q9HC29
TRAF4,NOD2,Q9BUZ4,Q9HC29
TUBB2B,NOD2,Q9BVA1,Q9HC29
CARD10,NOD2,Q9BWT7,Q9HC29
CARD6,NOD2,Q9BX69,Q9HC29
CARD14,NOD2,Q9BXL6,Q9HC29
CARD11,NOD2,Q9BXL7,Q9HC29
CADM1,NOD2,Q9BY67,Q9HC29
RBCK1,NOD2,Q9BYM8,Q9HC29
MRPS26,NOD2,Q9BYN8,Q9HC29
TRIM8,NOD2,Q9BZR9,Q9HC29
FOXP3,NOD2,Q9BZS1,Q9HC29
NLRP1,NOD2,Q9C000,Q9HC29
SHARPIN,NOD2,Q9H0F6,Q9HC29
CARD9,NOD2,Q9H257,Q9HC29
TP63,NOD2,Q9H3D4,Q9HC29
PELI2,NOD2,Q9HAT8,Q9HC29
EDA2R,NOD2,Q9HAV5,Q9HC29
PIDD1,NOD2,Q9HB75,Q9HC29
LY9,NOD2,Q9HBG7,Q9HC29
NOD2,TACC3,Q9HC29,Q9Y6A5
NOD2,IFNK,Q9HC29,Q9P0W0
NOD2,KCNMB3,Q9HC29,Q9NPA1
NOD2,NOD2,Q9HC29,Q9HC29
NOD2,NLRC4,Q9HC29,Q9NPP4
NOD2,TLR7,Q9HC29,Q9NYK1
NOD2,C1RL,Q9HC29,Q9NZP8
NOD2,CARD8,Q9HC29,Q9Y2G2
NOD2,TREM1,Q9HC29,Q9NP99
NOD2,SPINK5,Q9HC29,Q9NQ38
NOD2,LY96,Q9HC29,Q9Y6Y9
NOD2,CLCF1,Q9HC29,Q9UBD9
NOD2,PACSIN2,Q9HC29,Q9UNF0
NOD2,SUGT1,Q9HC29,Q9Y2Z0
NOD2,PYCARD,Q9HC29,Q9ULZ3
NOD2,S100A14,Q9HC29,Q9HCY8
NOD2,FBXO4,Q9HC29,Q9UKT5
NOD2,TREM2,Q9HC29,Q9NZC2
NOD2,DICER1,Q9HC29,Q9UPY3
NOD2,SHOC2,Q9HC29,Q9UQ13
NOD2,IRAK3,Q9HC29,Q9Y616
NOD2,TLR6,Q9HC29,Q9Y2C9
NOD2,TNFSF13B,Q9HC29,Q9Y275
NOD2,CD274,Q9HC29,Q9NZQ7
NOD2,NLK,Q9HC29,Q9UBE8
NOD2,NCOA3,Q9HC29,Q9Y6Q9
NOD2,MAP3K20,Q9HC29,Q9NYL2
NOD2,ROBO1,Q9HC29,Q9Y6N7
NOD2,NDUFA13,Q9HC29,Q9P0J0
NOD2,DUOX2,Q9HC29,Q9NRD8
NOD2,TAB2,Q9HC29,Q9NYJ8
NOD2,TRAF6,Q9HC29,Q9Y4K3
NOD2,SLAMF7,Q9HC29,Q9NQ25
NOD2,TNFRSF11A,Q9HC29,Q9Y6Q6
NOD2,SWAP70,Q9HC29,Q9UH65
NOD2,TLR8,Q9HC29,Q9NR97
NOD2,VSIG4,Q9HC29,Q9Y279
NOD2,ITSN2,Q9HC29,Q9NZM3
NOD2,NOD1,Q9HC29,Q9Y239
NOD2,TLR9,Q9HC29,Q9NR96
NOD2,NUB1,Q9HC29,Q9Y5A7
NOD2,CYLD,Q9HC29,Q9NQC7
NOD2,MALT1,Q9HC29,Q9UDY8
NOD2,FAF1,Q9HC29,Q9UNN5
NOD2,PSME2,Q9HC29,Q9UL46
NOD2,ROBO2,Q9HC29,Q9HCK4
NOD2,CD93,Q9HC29,Q9NPY3
NOD2,FIS1,Q9HC29,Q9Y3D6
NOD2,TCF7L2,Q9HC29,Q9NQB0
NOD2,NLRP2,Q9HC29,Q9NX02
NOD2,IL19,Q9HC29,Q9UHD0
NOD2,IKBKG,Q9HC29,Q9Y6K9
NOD2,SEL1L,Q9HC29,Q9UBV2
CPEB4,NDST1,Q17RY0,P52848
CPEB4,UBE3C,Q17RY0,Q15386
SAV1,CPEB4,Q9H4B6,Q17RY0
BMI1,CPEB4,P35226,Q17RY0
U2SURP,CPEB4,O15042,Q17RY0
SYNCRIP,CPEB4,O60506,Q17RY0
CNOT4,CPEB4,O95628,Q17RY0
PABPC1,CPEB4,P11940,Q17RY0
EEF1D,CPEB4,P29692,Q17RY0
HNRNPH1,CPEB4,P31943,Q17RY0
BMI1,CPEB4,P35226,Q17RY0
TOB1,CPEB4,P50616,Q17RY0
RBM5,CPEB4,P52756,Q17RY0
NDST1,CPEB4,P52848,Q17RY0
PPP2CA,CPEB4,P67775,Q17RY0
EWSR1,CPEB4,Q01844,Q17RY0
NCBP1,CPEB4,Q09161,Q17RY0
TARDBP,CPEB4,Q13148,Q17RY0
G3BP1,CPEB4,Q13283,Q17RY0
UBE3C,CPEB4,Q15386,Q17RY0
CPEB4,GREB1L,Q17RY0,Q9C091
CPEB4,SAV1,Q17RY0,Q9H4B6
CPEB4,SREK1,Q17RY0,Q8WXA9
CPEB4,EGLN3,Q17RY0,Q9H6Z9
CPEB4,CPEB1,Q17RY0,Q9BZB8
CPEB4,ALKBH8,Q17RY0,Q96BT7
CPEB4,TAF15,Q17RY0,Q92804
CPEB4,MAGOHB,Q17RY0,Q96A72
CPEB4,CPEB4,Q17RY0,Q17RY0
CPEB4,RBM12B,Q17RY0,Q8IXT5
IFNG,IFNGR2,P01579,P38484
IFNGR2,JAK2,P38484,O60674
DNAJA3,IFNGR2,Q96EY1,P38484
CAMK2D,IFNGR2,Q13557,P38484
IFNGR2,RPL37A,P38484,P61513
ELAVL1,IFNGR2,Q15717,P38484
CLIC1,IFNGR2,O00299,P38484
SH2B2,IFNGR2,O14492,P38484
SOCS3,IFNGR2,O14543,P38484
SOCS1,IFNGR2,O15524,P38484
JAK2,IFNGR2,O60674,P38484
EGFR,IFNGR2,P00533,P38484
PLAT,IFNGR2,P00750,P38484
TGFB1,IFNGR2,P01137,P38484
IFNG,IFNGR2,P01579,P38484
FN1,IFNGR2,P02751,P38484
NR3C1,IFNGR2,P04150,P38484
JUN,IFNGR2,P05412,P38484
INSR,IFNGR2,P06213,P38484
PROS1,IFNGR2,P07225,P38484
IGF1R,IFNGR2,P08069,P38484
ANXA5,IFNGR2,P08758,P38484
IL6R,IFNGR2,P08887,P38484
PDGFRB,IFNGR2,P09619,P38484
FGR,IFNGR2,P09769,P38484
GHR,IFNGR2,P10912,P38484
CD8B,IFNGR2,P10966,P38484
CCL4,IFNGR2,P13236,P38484
CCL5,IFNGR2,P13501,P38484
F3,IFNGR2,P13726,P38484
CD59,IFNGR2,P13987,P38484
IL2RB,IFNGR2,P14784,P38484
IFNGR1,IFNGR2,P15260,P38484
VAV1,IFNGR2,P15498,P38484
VEGFA,IFNGR2,P15692,P38484
CREB1,IFNGR2,P16220,P38484
PRLR,IFNGR2,P16471,P38484
IFNAR1,IFNGR2,P17181,P38484
PTPN2,IFNGR2,P17706,P38484
PTPN1,IFNGR2,P18031,P38484
TNFRSF1A,IFNGR2,P19438,P38484
JAK1,IFNGR2,P23458,P38484
TNC,IFNGR2,P24821,P38484
FAS,IFNGR2,P25445,P38484
CD40,IFNGR2,P25942,P38484
PIK3R1,IFNGR2,P27986,P38484
PTPN6,IFNGR2,P29350,P38484
SHC1,IFNGR2,P29353,P38484
TYK2,IFNGR2,P29597,P38484
IL2RG,IFNGR2,P31785,P38484
CSF2RB,IFNGR2,P32927,P38484
ACVRL1,IFNGR2,P37023,P38484
IFNGR2,VSIG4,P38484,Q9Y279
IFNGR2,SYTL2,P38484,Q9HCH5
IFNGR2,SHH,P38484,Q15465
IFNGR2,STAM,P38484,Q92783
IFNGR2,STAT5A,P38484,P42229
IFNGR2,TRIM25,P38484,Q14258
IFNGR2,DNAJA3,P38484,Q96EY1
IFNGR2,CRLF3,P38484,Q8IUI8
IFNGR2,MICA,P38484,Q29983
IFNGR2,NFAM1,P38484,Q8NET5
IFNGR2,STAT2,P38484,P52630
IFNGR2,IRF3,P38484,Q14653
IFNGR2,ZC3HAV1,P38484,Q7Z2W4
IFNGR2,IRF7,P38484,Q92985
IFNGR2,IL27RA,P38484,Q6UWB1
IFNGR2,NOTCH3,P38484,Q9UM47
IFNGR2,RPL37A,P38484,P61513
IFNGR2,STAT1,P38484,P42224
IFNGR2,SH2B1,P38484,Q9NRF2
IFNGR2,IL20RA,P38484,Q9UHF4
IFNGR2,CAMK2D,P38484,Q13557
IFNGR2,IL10RA,P38484,Q13651
IFNGR2,MYOF,P38484,Q9NZM1
IFNGR2,CD276,P38484,Q5ZPR3
IFNGR2,LRRN4CL,P38484,Q8ND94
IFNGR2,GP6,P38484,Q9HCN6
IFNGR2,IL10RB,P38484,Q08334
IFNGR2,PROCR,P38484,Q9UNN8
IFNGR2,IFNGR2,P38484,P38484
IFNGR2,MICB,P38484,Q29980
IFNGR2,TRIM22,P38484,Q8IYM9
IFNGR2,IFI16,P38484,Q16666
IFNGR2,IFI35,P38484,P80217
IFNGR2,LY96,P38484,Q9Y6Y9
IFNGR2,LILRB1,P38484,Q8NHL6
IFNGR2,MALT1,P38484,Q9UDY8
IFNGR2,JAK3,P38484,P52333
IFNGR2,OSMR,P38484,Q99650
IFNGR2,ELAVL1,P38484,Q15717
IFNGR2,MAN1C1,P38484,Q9NR34
IFNGR2,IFNAR2,P38484,P48551
IFNGR2,NPC2,P38484,P61916
IFNGR2,IL20RB,P38484,Q6UXL0
IFNGR2,STAT5B,P38484,P51692
IFNGR2,CD86,P38484,P42081
IFNGR2,NECTIN2,P38484,Q92692
IFNGR2,STAT3,P38484,P40763
IFNGR2,PTPA,P38484,Q15257
IFNGR2,IL22RA1,P38484,Q8N6P7
IFNGR2,PTPN11,P38484,Q06124
IFNGR2,PLAUR,P38484,Q03405
IL12RB1,IL23R,P42701,Q5VWK5
IL23A,IL23R,Q9NPF7,Q5VWK5
C1D,IL23R,Q13901,Q5VWK5
GOLIM4,IL23R,O00461,Q5VWK5
GOSR2,IL23R,O14653,Q5VWK5
JAK2,IL23R,O60674,Q5VWK5
GOSR1,IL23R,O95249,Q5VWK5
CCL2,IL23R,P13500,Q5VWK5
NFKBIA,IL23R,P25963,Q5VWK5
ITGA3,IL23R,P26006,Q5VWK5
IL12A,IL23R,P29459,Q5VWK5
IL12B,IL23R,P29460,Q5VWK5
TYK2,IL23R,P29597,Q5VWK5
STAT3,IL23R,P40763,Q5VWK5
IL12RB1,IL23R,P42701,Q5VWK5
RORC,IL23R,P51449,Q5VWK5
COG7,IL23R,P83436,Q5VWK5
CXCL9,IL23R,Q07325,Q5VWK5
EP300,IL23R,Q09472,Q5VWK5
FOXO1,IL23R,Q12778,Q5VWK5
IL24,IL23R,Q13007,Q5VWK5
C1D,IL23R,Q13901,Q5VWK5
COG2,IL23R,Q14746,Q5VWK5
