GeneA,GeneB,UniprotA,UniprotB,DataSource
ATG16L1,ATG16L1,Q676U5,Q676U5,BioGrid
ATG16L1,ATG16L1,Q676U5,Q676U5,BioGrid
ATG12,ATG16L1,O94817,Q676U5,BioGrid
IKBKG,ATG16L1,Q9Y6K9,Q676U5,BioGrid
ATG16L1,CLTC,Q676U5,Q00610,BioGrid
ATG16L1,HSPA4,Q676U5,P34932,BioGrid
ATG16L1,FCGRT,Q676U5,P55899,BioGrid
ATG16L1,CLTC,Q676U5,Q00610,BioGrid
ATG16L1,ATG5,Q676U5,Q9H1Y0,BioGrid
ATG16L1,AP2M1,Q676U5,Q96CW1,BioGrid
WDFY3,ATG16L1,Q8IZQ1,Q676U5,BioGrid
ATG16L1,APP,Q676U5,P05067,BioGrid
ATG5,ATG16L1,Q9H1Y0,Q676U5,BioGrid
ATG5,ATG16L1,Q9H1Y0,Q676U5,BioGrid
PSMC3,ATG16L1,P17980,Q676U5,BioGrid
WIPI2,ATG16L1,Q9Y4P8,Q676U5,BioGrid
SPC25,ATG16L1,Q9HBM1,Q676U5,BioGrid
SYNPO2,ATG16L1,Q9UMS6,Q676U5,BioGrid
RAB33B,ATG16L1,Q9H082,Q676U5,BioGrid
RAB3D,ATG16L1,O95716,Q676U5,BioGrid
ATG16L1,RAB33B,Q676U5,Q9H082,BioGrid
ATG16L1,RAB3D,Q676U5,O95716,BioGrid
ATG16L1,RAB33A,Q676U5,Q14088,BioGrid
ATG16L1,RAB35,Q676U5,Q15286,BioGrid
RAB33A,ATG16L1,Q14088,Q676U5,BioGrid
RAB35,ATG16L1,Q15286,Q676U5,BioGrid
ATG16L1,RAB33B,Q676U5,Q9H082,BioGrid
ATG16L1,RAB33A,Q676U5,Q14088,BioGrid
ATG16L1,ATG5,Q676U5,Q9H1Y0,BioGrid
ATG16L1,TNK2,Q676U5,Q07912,BioGrid
ATG16L1,TNK2,Q676U5,Q07912,BioGrid
ATG16L1,RB1CC1,Q676U5,Q8TDY2,BioGrid
ATG16L1,ATG5,Q676U5,Q9H1Y0,BioGrid
ATG16L1,RB1CC1,Q676U5,Q8TDY2,BioGrid
ATG16L1,ATG13,Q676U5,O75143,BioGrid
ATG16L1,ULK1,Q676U5,O75385,BioGrid
RB1CC1,ATG16L1,Q8TDY2,Q676U5,BioGrid
ATG16L1,RB1CC1,Q676U5,Q8TDY2,BioGrid
TMEM59,ATG16L1,Q9BXS4,Q676U5,BioGrid
ATG16L1,TMEM59,Q676U5,Q9BXS4,BioGrid
TMEM59,ATG16L1,Q9BXS4,Q676U5,BioGrid
ATG16L1,NOD2,Q676U5,Q9HC29,BioGrid
ATG16L1,TLR2,Q676U5,O60603,BioGrid
ATG16L1,TRAF3IP3,Q676U5,Q9Y228,BioGrid
ATG16L1,DEDD2,Q676U5,Q8WXF8,BioGrid
UBC,ATG16L1,P0CG48,Q676U5,BioGrid
UBC,ATG16L1,P0CG48,Q676U5,BioGrid
RB1CC1,ATG16L1,Q8TDY2,Q676U5,BioGrid
ATG16L1,RB1CC1,Q676U5,Q8TDY2,BioGrid
ATG5,ATG16L1,Q9H1Y0,Q676U5,BioGrid
WIPI2,ATG16L1,Q9Y4P8,Q676U5,BioGrid
ATG16L1,RB1CC1,Q676U5,Q8TDY2,BioGrid
NOD1,ATG16L1,Q9Y239,Q676U5,BioGrid
UBC,ATG16L1,P0CG48,Q676U5,BioGrid
ATG16L1,NOD1,Q676U5,Q9Y239,BioGrid
ATG16L1,NOD2,Q676U5,Q9HC29,BioGrid
NOD1,ATG16L1,Q9Y239,Q676U5,BioGrid
NOD2,ATG16L1,Q9HC29,Q676U5,BioGrid
MOV10,ATG16L1,Q9HCE1,Q676U5,BioGrid
NXF1,ATG16L1,Q9UBU9,Q676U5,BioGrid
IRGM,ATG16L1,A1A4Y4,Q676U5,BioGrid
ATG16L1,IRGM,Q676U5,A1A4Y4,BioGrid
DVL2,ATG16L1,O14641,Q676U5,BioGrid
XPO1,ATG16L1,O14980,Q676U5,BioGrid
ATG16L1,ATG5,Q676U5,Q9H1Y0,BioGrid
ATG5,ATG16L1,Q9H1Y0,Q676U5,BioGrid
ATG5,ATG16L1,Q9H1Y0,Q676U5,BioGrid
MEFV,ATG16L1,O15553,Q676U5,BioGrid
ATG12,ATG16L1,O94817,Q676U5,BioGrid
ATG16L1,GAN,Q676U5,Q9H2C0,BioGrid
ATG16L1,ATG5,Q676U5,Q9H1Y0,BioGrid
ATG16L1,AGPS,Q676U5,O00116,BioGrid
ATG16L1,CCT7,Q676U5,Q99832,BioGrid
ATG16L1,CCT2,Q676U5,P78371,BioGrid
ATG16L1,CCT3,Q676U5,P49368,BioGrid
ATG16L1,SNAPC4,Q676U5,Q5SXM2,BioGrid
ATG3,ATG16L1,Q9NT62,Q676U5,BioGrid
ATG5,ATG16L1,Q9H1Y0,Q676U5,BioGrid
MAP1LC3B,ATG16L1,Q9GZQ8,Q676U5,BioGrid
MAP1LC3C,ATG16L1,Q9BXW4,Q676U5,BioGrid
ELAVL1,ATG16L1,Q15717,Q676U5,BioGrid
ATG5,ATG16L1,Q9H1Y0,Q676U5,BioGrid
ATG16L1,ATG5,Q676U5,Q9H1Y0,BioGrid
WIPI2,ATG16L1,Q9Y4P8,Q676U5,BioGrid
ATG3,ATG16L1,Q9NT62,Q676U5,BioGrid
TRIP11,ATG16L1,Q15643,Q676U5,BioGrid
IKBIP,ATG16L1,Q70UQ0,Q676U5,BioGrid
SCOC,ATG16L1,Q9UIL1,Q676U5,BioGrid
PMF1,ATG16L1,Q6P1K2,Q676U5,BioGrid
COLEC12,ATG16L1,Q5KU26,Q676U5,BioGrid
SPC25,ATG16L1,Q9HBM1,Q676U5,BioGrid
PSMC3,ATG16L1,P17980,Q676U5,BioGrid
TRIM16,ATG16L1,O95361,Q676U5,BioGrid
ATG16L1,TRIM16,Q676U5,O95361,BioGrid
ATG16L1,UBC,Q676U5,P0CG48,BioGrid
IL12RB1,IL23R,P42701,Q5VWK5,BioGrid
IL23A,IL23R,Q9NPF7,Q5VWK5,BioGrid
C1D,IL23R,Q13901,Q5VWK5,BioGrid
IRGM,IRGM,A1A4Y4,A1A4Y4,BioGrid
IRGM,ULK1,A1A4Y4,O75385,BioGrid
IRGM,AMBRA1,A1A4Y4,Q9C0C7,BioGrid
IRGM,BECN1,A1A4Y4,Q14457,BioGrid
BECN1,IRGM,Q14457,A1A4Y4,BioGrid
IRGM,ATG14,A1A4Y4,Q6ZNE5,BioGrid
IRGM,ATG16L1,A1A4Y4,Q676U5,BioGrid
ATG16L1,IRGM,Q676U5,A1A4Y4,BioGrid
IRGM,NOD2,A1A4Y4,Q9HC29,BioGrid
NOD2,IRGM,Q9HC29,A1A4Y4,BioGrid
NOD2,IRGM,Q9HC29,A1A4Y4,BioGrid
IRGM,NOD1,A1A4Y4,Q9Y239,BioGrid
DDX58,IRGM,O95786,A1A4Y4,BioGrid
IRGM,TLR3,A1A4Y4,O15455,BioGrid
ADAM30,LCLAT1,Q9UKF2,Q6UWP7,BioGrid
ADAM30,ADAMTS2,Q9UKF2,O95450,BioGrid
MUSK,ADAM30,O15146,Q9UKF2,BioGrid
ADAM30,SEC11C,Q9UKF2,Q9BY50,BioGrid
ADAM30,FOXF2,Q9UKF2,Q12947,BioGrid
