"InnateDB ID","Query Xref","Species","Source Database","Pathway Name"
"18744","NOD1","Homo sapiens","REACTOME","Signaling by Interleukins"
"4154","AHR","Homo sapiens","PID_BIOCARTA","Ahr signal transduction pathway"
"15656","TMPRSS2","Homo sapiens","PID_NCI","Regulation of Androgen receptor activity"
"4376","NPR2","Homo sapiens","KEGG","Vascular smooth muscle contraction"
"13027","NOD1","Homo sapiens","REACTOME","TAK1 activates NFkB by phosphorylation and activation of IKKs complex"
"10374","NOD1","Homo sapiens","KEGG","Shigellosis"
"13024","NOD1","Homo sapiens","REACTOME","activated TAK1 mediates p38 MAPK activation"
"13048","NOD1","Homo sapiens","REACTOME","Toll Like Receptor 5 (TLR5) Cascade"
"17476","NOD1","Homo sapiens","REACTOME","Innate Immune System"
"13046","NOD1","Homo sapiens","REACTOME","Toll Like Receptor 4 (TLR4) Cascade"
"17418","NOD1","Homo sapiens","REACTOME","Cytokine Signaling in Immune system"
"457","NOD1","Homo sapiens","KEGG","Epithelial cell signaling in Helicobacter pylori infection"
"15082","TMPRSS2","Homo sapiens","PID_NCI","Coregulation of Androgen receptor activity"
"13040","NOD1","Homo sapiens","REACTOME","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation"
"15906","AHR","Homo sapiens","NETPATH","AndrogenReceptor"
"13041","NOD1","Homo sapiens","REACTOME","MyD88 dependent cascade initiated on endosome"
"19190","NOD1","Homo sapiens","REACTOME","Activated TLR4 signalling"
"16831","NOD1","Homo sapiens","REACTOME","Toll Like Receptor 7/8 (TLR7/8) Cascade"
"19429","SGPP1","Homo sapiens","REACTOME","Metabolism"
"13044","NOD1","Homo sapiens","REACTOME","Toll Like Receptor 10 (TLR10) Cascade"
"13042","NOD1","Homo sapiens","REACTOME","Toll Like Receptor 9 (TLR9) Cascade"
"13043","NOD1","Homo sapiens","REACTOME","MyD88 cascade initiated on plasma membrane"
"13023","NOD1","Homo sapiens","REACTOME","JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1"
"479","SGPP1","Homo sapiens","KEGG","Sphingolipid metabolism"
"16652","SGPP1","Homo sapiens","REACTOME","Sphingolipid metabolism"
"16184","NPR2","Homo sapiens","INOH","Purine nucleotides nucleosides metabolism"
"13035","NOD1","Homo sapiens","REACTOME","Toll Like Receptor TLR1:TLR2 Cascade"
"13036","NOD1","Homo sapiens","REACTOME","Toll Like Receptor TLR6:TLR2 Cascade"
"8112","NOD1","Homo sapiens","KEGG","NOD-like receptor signaling pathway"
"18444","NOD1","Homo sapiens","REACTOME","Immune System"
"503","NPR2","Homo sapiens","KEGG","Purine metabolism"
"17710","NOD1","Homo sapiens","REACTOME","Toll Like Receptor 2 (TLR2) Cascade"
"16920","SGPP1","Homo sapiens","REACTOME","Metabolism of lipids and lipoproteins"
"17767","NOD1","Homo sapiens","REACTOME","Toll-Like Receptors Cascades"
"13078","NOD1","Homo sapiens","REACTOME","Interleukin-1 signaling"
"18088","NOD1","Homo sapiens","REACTOME","MAP kinase activation in TLR cascade"
"13512","SGPP1","Homo sapiens","REACTOME","Sphingolipid de novo biosynthesis"
"14928","SGPP1","Homo sapiens","PID_NCI","Sphingosine 1-phosphate (S1P) pathway"
"13056","NOD1","Homo sapiens","REACTOME","NOD1/2 Signaling Pathway"
"18305","NOD1","Homo sapiens","REACTOME","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways"
"13031","NOD1","Homo sapiens","REACTOME","Toll Like Receptor 3 (TLR3) Cascade"
"13034","NOD1","Homo sapiens","REACTOME","MyD88:Mal cascade initiated on plasma membrane"
"13030","NOD1","Homo sapiens","REACTOME","MyD88-independent cascade "
"19507","NOD1","Homo sapiens","REACTOME","TRIF-mediated TLR3/TLR4 signaling "
